"ID","Codigo","Proteina","Humedad","Grasa","Ceniza","Fibra","Almidon","Version","FechaInicio","HoraInicio","FechaFin","HoraFin","FlagEstado"
"1","7500093","35,5","7,3","11","10,69","2,32","19","536","29/05/2024","00:00","10/06/2024","23:59","False"
"2","7500093","35,5","7,1098","10,7963","11","2,1034","20,0606","537","11/06/2024","00:00","21/06/2024","23:59","False"
"3","7500093","35,5","6,3","11","10,35","2,19","21,12","538","22/06/2024","00:00","23/06/2024","23:59","False"
"4","7500093","35,5","7,13","11","10,6","2,1","20,16","539","24/06/2024","00:00","15/09/2024","23:59","False"
"5","7500093","35","7,22","11","10,49","2","20,79","540","16/09/2024","00:00","03/11/2024","23:59","False"
"6","7500093","35,5","6,9","11","10,05","2,11","19,79","541","04/11/2024","00:00","08/02/2025","23:59","False"
"7","7500093","35,5","11,21","6,82","9,19","2,07","19,5","542","09/02/2025","00:00","09/02/2025","23:59","False"
"8","7500093","35,5","10,96","6,75","9,11","2,11","19,5","543","10/02/2025","00:00","14/03/2025","23:59","False"
"9","7500093","35,5","11,5","6,8591","9,4434","2,0243","20,0469","544","15/03/2025","00:00","12/04/2025","23:59","False"
"10","7500093","35,5","11,5","6,95","9,69","2,05","19,96","545","13/04/2025","00:00","16/05/2025","23:59","False"
"11","7500093","35,5197","11,5","6,969","9,6174","2,02","21,0537","546","17/05/2025","00:00","19/06/2025","23:59","False"
"12","7500093","35,5","11,5","6,62","9,07","2,08","20,39","548","20/06/2025","00:00","22/06/2025","23:59","False"
"13","7500093","35,5","11,5","6,9356","9,6747","2,1016","20,4","549","23/06/2025","00:00","05/12/2025","23:59","False"
"14","7500093","35,5","11,83","7,62","7,99","2,25","19","555","06/12/2025","00:00",,,"True"
"15","7500133","35,5","11,5","7,38","9,56","2,26","19,5","550","15/07/2025","00:00","08/08/2025","23:59","False"
"16","7500133","35,82","12","7,18","8,89","2,21","19,5","552","09/08/2025","00:00","07/09/2025","23:59","False"
"17","7500133","35,5","12","7,08","9,25","2,25","19,73","553","08/09/2025","00:00","07/11/2025","23:59","False"
"18","7500133","35,5","12","7,35","9,82","2,2","19,73","554","08/11/2025","00:00",,,"True"
"19","7500136","35,5","11,5","6,9","9,82","2,14","19,5","154","10/05/2025","00:00","11/05/2025","23:59","False"
"20","7500136","35,79","6,68","11","9,8","2","0","772","05/05/2024","00:00","15/05/2024","23:59","False"
"21","7500136","35,76","6,71","11","6,46","3,83","19,5","775","16/05/2024","00:00","15/09/2024","23:59","False"
"22","7500136","35,5","7,14","11","10,47","2,25","19,5","786","16/09/2024","00:00","19/10/2024","23:59","False"
"23","7500136","35,5","7,14","11","10,44","2,14","19,53","789","20/10/2024","00:00","24/11/2024","23:59","False"
"24","7500136","35,5","6,66","11","9,34","2,04","19,5","791","25/11/2024","00:00","18/12/2024","23:59","False"
"25","7500136","35,55","6,69","10,72","9,66","2,24","20,33","792","19/12/2024","00:00","01/01/2025","23:59","False"
"26","7500136","35,5","11,12","6,79","9,31","2,19","19,5","794","02/01/2025","00:00","16/01/2025","23:59","False"
"27","7500136","35,5","11,12","6,79","9,31","2,19","19,5","795","17/01/2025","00:00","01/02/2025","23:59","False"
"28","7500136","35,5","11,1353","6,8573","9,4565","2,0124","19,5","796","02/02/2025","00:00","10/02/2025","23:59","False"
"29","7500136","35,5","10,93","6,84","9,16","2,09","19,5","797","11/02/2025","00:00","17/02/2025","23:59","False"
"30","7500136","35,5","10,7625","6,6881","9,4243","2,2448","19,5","798","18/02/2025","00:00","03/03/2025","23:59","False"
"31","7500136","35,5","11,5","6,7373","8,9164","2,1077","19,75","800","04/03/2025","00:00","13/03/2025","23:59","False"
"32","7500136","35,5","11,5","6,7992","9,3088","2,0824","19,662","801","14/03/2025","00:00","15/04/2025","23:59","False"
"33","7500136","35,5","11,5","6,96","8,92","2,1","19,89","803","16/04/2025","00:00","09/05/2025","23:59","False"
"34","7500136","35,6494","11,5","6,8963","9,5171","2,0873","20,499","805","12/05/2025","00:00","30/06/2025","23:59","False"
"35","7500136","36","11,5","6,92","9,01","2,26","19,5","807","01/07/2025","00:00","16/07/2025","23:59","False"
"36","7500136","36,04","11,34","7,21","8,97","2,29","19,5","808","17/07/2025","00:00","20/07/2025","23:59","False"
"37","7500136","36,02","11,35","7,22","8,91","2,3","19,5","809","21/07/2025","00:00","05/08/2025","23:59","False"
"38","7500136","35,86","12","7","8,99","2,23","19,5","810","06/08/2025","00:00","17/08/2025","23:59","False"
"39","7500136","35,82","12","6,91","9,29","2,12","19,5","813","18/08/2025","00:00","24/08/2025","23:59","False"
"40","7500136","35,72","12","7,02","9,49","2,08","19,5","814","25/08/2025","00:00","08/09/2025","23:59","False"
"41","7500136","35,5","12","7,25","9,18","2,25","19,5","815","09/09/2025","00:00","12/10/2025","23:59","False"
"42","7500136","35,5","12","7,07","9,17","2,25","19,5","816","13/10/2025","00:00","27/10/2025","23:59","False"
"43","7500136","35,5","11,7393","6,7401","8,9096","2,1929","19,6215","817","28/10/2025","00:00","02/11/2025","23:59","False"
"44","7500136","35,51","12","7,13","9,45","2,17","19,98","818","03/11/2025","00:00","10/11/2025","23:59","False"
"45","7500136","35,51","12","7,13","9,45","2,17","19,98","819","11/11/2025","00:00","19/11/2025","23:59","False"
"46","7500136","35,816","11,845","6,784","9,0634","2,178","20,5994","820","20/11/2025","00:00","29/11/2025","23:59","False"
"47","7500136","35,59","12","6,97","9,13","2,2","19,84","821","30/11/2025","00:00",,,"True"
