"ID","Motivo","Causa","FlagEstado"
"1","Actividad_de_agua_alta","Secado deficiente","True"
"2","Actividad_de_agua_alta","Formulación","True"
"3","Actividad_de_agua_alta","Persianas rotas en enfriador","True"
"4","Actividad_de_agua_alta","Descarga manual del enfriador","True"
"5","Actividad_de_agua_alta","Exceso de agua en el acondicionador","True"
"6","Actividad_de_agua_alta","Arranque de Linea","True"
"7","Actividad_de_agua_alta","Falla sistema SCADA","True"
"8","Actividad_de_agua_alta","Falla Brazo movil del secador","True"
"9","Actividad_de_agua_alta","Falla Secador","True"
"10","Actividad_de_agua_alta","Prueba de aumento de presion de vapor","True"
"11","Actividad_de_agua_alta","Variabilidad del proceso","True"
"12","Actividad_de_agua_baja","Retención excesiva en secador","True"
"13","Actividad_de_agua_baja","Formulación","True"
"14","Actividad_de_agua_baja","Variabilidad del proceso","True"
"15","Apariencia","Sobrecargas de prensa","True"
"16","Apariencia","Secado Heterogéneo","True"
"17","Apariencia","Rociado heterogéneo","True"
"18","Apariencia","Acondicionado con vapor heterogéneo","True"
"19","Apariencia","Cuchillas desgastadas","True"
"20","Apariencia","Atoro de molde","True"
"21","Apariencia","Atoro en esclusa de ciclón","True"
"22","Apariencia","Molde desgastado","True"
"23","Apariencia","Arranque de Linea","True"
"24","Apariencia","Parámetros de proceso","True"
"25","Apariencia","Producto pegado en Post Acondicionador","True"
"26","Apariencia","Posible contaminación en mezcladora de molienda","True"
"27","Apariencia","Paradas intermitentes de prensa","True"
"28","Apariencia","Arranque de prensa","True"
"29","Apariencia","Variabilidad del proceso","True"
"30","Baja_durabilidad","Fórmulación","True"
"31","Actividad_de_agua_alta","Secado deficiente","True"
"32","Actividad_de_agua_alta","Formulación","True"
"33","Actividad_de_agua_alta","Persianas rotas en enfriador","True"
"34","Actividad_de_agua_alta","Descarga manual del enfriador","True"
"35","Actividad_de_agua_alta","Exceso de agua en el acondicionador","True"
"36","Actividad_de_agua_alta","Arranque de Linea","True"
"37","Actividad_de_agua_alta","Falla sistema SCADA","True"
