Fecha,Turno,TAC,Codigo,Linea,Lote,Hora,Etapa,Ver,Agrupador,Categoria,Proteina (%),Humedad (%),Grasa (%),Ceniza (%),Fibra (%),Proteina F.(%),Humedad F.(%),Lipidos F. (%),Ceniza F.(%),Fibra F.(%),Almidon F. (%),VQ - Proteina R.(%),"VQ - Humedad R.(%) ",VQ - Grasa E.E R.(%),VQ - Grasa H.A R.(%),VQ - % Ceniza,VQ - % Fibra,VQ - % Almidón,VQ - CALCIO,VQ - FOSFORO,VQ - MAGNESIO,VQ - POTASIO,VQ - SODIO,VQ - COLESTEROL mg/100g,VQ - Aw,AF - W2,AF - PM,AF - Hidroestabilidad,"AF - <0.250  ","AF - 0.250 - 0.300 ","AF - 0.300 - 0.400 ","AF - 0.400 - 0.500 ","AF - 0.500 - 0.600 ","AF - 0.600 - 0.700 ","AF - 0.700 - 0.800 ","AF - 0.800 - 0.900 ","AF - 0.900 - 1.00 ",AF - 1.0 - 1.1,AF - >1.11,AF - Conforme Longitud,AF - Longitud <=  10.00 %,AF - <0.250  2,"AF - 0.250 - 0.300  ","AF - 0.300 - 0.400  ","AF - 0.400 - 0.500  ","AF - 0.500 - 0.600  ","AF - 0.600 - 0.700  ",AF - 0.700 - 0.800,"AF - 0.800 - 0.900  ","AF - 0.900 - 1.0 ","AF - 1.0 - 1.1 ",AF - >1.1,AF - Conforme Diametro,AF - Diametro <=  10.00 %,AF - Apariencia,AF - % Rebabas,AF - % de Finos <250 um,PPG - Peso,PPG - Particulas,PPG - Part./g,FH - PESO2,"FH - Pellets que Flotan 140 PPT ",FH - Flotabilidad % 140 (10s)ppt,FH - Tiempo de Hundimiento 140ppt(seg)2,FH - % Hundimiento 140,DE - VOL.1,DE - VOL.2,DE - DIF. VOLUMEN,DE - PESO,DE - DENSIDAD ESPECIFICA (kg/L),DA - PESO3,DA - VOLUMEN DEL VASO,DA - DENSIDAD APARENTE  (g/L),R140 - Peso./g,R140 - Part.g /25 gr,"R140 - Minuto""5"" ","R140 - Minuto  ""15"" ","R140 - Minuto  ""30"" ","R140 - Minuto  ""60"" ",R140 - % Reflote 140 PPT,D. Empleo,Autorizado por:,Cantidad de Bolsas,Cantidad de Bolsas 2,Cantidad de Bolsas 3,Cantidad de Bolsas 4,Total Bolsas,TN,Codigo QM,Motivo Pulmon,Observaciones,Causas Pulmon
4/14/2025,II,OVASQUEZC,7530831,A,PE250414A0,21:00:00,ARRANQUE,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6,13.5,1.98,15.49,36.81,5.33,9.13,10.69,9.26,2.21,19.01,1.41,0.91,0.8,1.13,0.84,77.92,0.34,156,212,BUENA,0.01,0.01,0.03,3.48,26.98,59.48,4.97,1.3,0.69,0.61,2.44,94.91,5.09,0.26,0.41,2.94,7.69,25.41,61.32,1.81,0.14,0.02,0,0,96.23,3.77,BUENA,1.26%,,0.01,20,2000,15,200,0.67%,120,99.33%,50,73.5,23.5,30,1.28,,0.3,0,25,50000,2,3,3,3,0.010%,,,,,,,0,0,,,,
4/14/2025,III,OVASQUEZC,7530831,A,PE250414A0,23:00:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6,13.5,1.98,15.49,37.18,6.35,8.85,10.48,9.07,2.22,18.59,1.63,0.87,0.71,1.22,0.72,83.46,0.39,157,214,REGULAR,0.04,0,0.04,3.71,27.49,56.71,7.19,1.4,0.62,0.59,2.21,95.10,4.90,0.2,0.39,3.9,9.87,21.88,59.31,4.29,0.15,0.01,0,0,95.35,4.65,REGULAR,1.64%,,0.014,60,4286,15,300,0.47%,120,99.53%,50,73.5,23.5,30,1.28,,0.3,0,25,107143,2,3,3,3,0.003%,,,,,,,0,0,,,,
4/14/2025,III,OVASQUEZC,7530831,A,PE250414A0,01:15:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6,13.5,1.98,15.49,37.29,7.44,8.23,9.87,9.48,2.07,17.75,1.6,0.93,0.59,1.18,0.67,84.92,0.42,155,210,REGULAR,0.01,0.01,0.05,1.58,20.48,47.48,19.14,5.65,2.23,0.75,2.62,88.68,11.32,0.24,0.18,2.11,8.25,15.33,57.47,16,0.32,0.07,0.01,0.02,97.05,2.95,REGULAR,1.89%,,0.015,62,4133,15,400,0.65%,120,99.35%,50,73.8,23.8,30,1.26,,0.3,0,25,103333,2,2,2,2,0.000%,,,,,,,0,0,,,,
4/14/2025,III,OVASQUEZC,7530831,A,PE250414A0,03:15:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6,13.5,1.98,15.49,36.72,8.1,7.32,9.13,9.92,1.95,16.97,1.59,1.07,0.64,1.15,0.7,68.76,0.44,154,208,BUENA,0,0,0.03,2.55,27.38,42.78,14.18,6.09,3.21,1.22,2.56,86.89,13.11,0.13,0.23,2.87,11.9,20.7,50.92,12.83,0.34,0.07,0.01,0,96.35,3.65,BUENA,1.50%,,0.01,60,6000,15,500,0.56%,120,99.44%,50,73.8,23.8,30,1.26,,0.3,0,25,150000,5,5,5,5,0.000%,,,,,,,0,0,,,,
4/14/2025,III,OVASQUEZC,7530831,A,PE250414A0,05:20:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6,13.5,1.98,15.49,36.04,8.51,7.01,9.05,10.60,2.07,16.68,1.81,1.02,0.68,1.14,0.79,70.65,0.48,158,216,REGULAR,0.08,0,0.05,3.44,28.29,38.45,16.15,6.9,3.19,0.97,2.48,86.33,13.67,0.18,0.37,4.84,12.16,20.94,48.36,12.61,0.35,0.1,0.05,0.04,94.07,5.93,BUENA,1.50%,,0.008,43,5375,15,300,0.37%,90,99.63%,50,73.8,23.8,30,1.26,,0.3,0,25,134375,3,3,3,3,0.004%,,,,,,,0,0,,,,
4/14/2025,III,OVASQUEZC,7530831,A,PE250414A0,05:30:00,PT,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6,13.5,1.98,15.49,37.18,6.98,8.8,10.26,9.27,2.24,18.37,1.74,0.85,0.69,1.2,0.72,82.92,0.4,155,210,REGULAR,0.01,0,0.03,2.23,25.44,49.86,11.81,3.74,2.12,1.14,3.62,89.34,10.66,0.17,0.24,2.84,10.18,20.4,55.85,9.85,0.34,0.11,0.02,0,96.28,3.72,BUENA,1.40%,0.08%,0.011,66,6000,15,450,0.50%,86,99.50%,50,73.8,23.8,30,1.26,206,0.3,687,25,150000,3,3,3,3,0.002%,Concesi�n,PIERO A.,264,242,,,506,12.65,40000423376-40000423382,Flotabilidad,Flotabilidad 0.50 / Densidad 1.26 / Conformidad (long 27.67 / calibre 30.58),Falla operativa
4/15/2025,I,DAGUIRREG,7530831,A,PE250415A0,07:15:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,38.47,10.30,6.98,8.77,9.15,1.78,17.41,1.33,0.96,0.41,1.30,0.70,104.66,0.6,152,204,BUENA,0.01,0,0.05,2.86,29.56,38.94,15.75,5.85,2.71,1.12,3.15,87.11,12.89,0.14,0.31,4.38,13.92,22.17,43.93,14.54,0.54,0.06,0.01,0,94.56,5.44,BUENA,0.94%,,0.012,94,7833,15,200,0.17%,70,99.83%,50,73.8,23.8,30,1.26,,0.3,0,25,195833,3,5,5,5,0.000%,,,,,,,0,0.00,,,,
4/15/2025,I,DAGUIRREG,7530831,A,PE250415A0,09:15:00,ZARANDA,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,35.64,10.88,6.85,8.91,10.45,1.89,16.90,1.58,1.01,0.60,1.17,0.78,83.50,0.62,156,212,REGULAR,0.02,0,0.06,2.14,25.27,37.34,16.17,7.82,4.57,2.25,4.36,80.92,19.08,0.2,0.28,2.89,11.96,22.29,47.51,14.13,0.61,0.09,0.02,0.02,95.89,4.11,BUENA,0.90%,,0.015,97,6467,15,320,0.33%,80,99.67%,50,73.8,23.8,30,1.26,,0.3,0,25,161667,8,8,8,8,0.000%,,,,,,,0,0.00,,,,
4/15/2025,I,DAGUIRREG,7530831,A,PE250415A0,13:10:00,ARRANQUE,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,36.97,9.19,6.93,9.00,10.30,1.80,16.17,1.53,1.09,0.51,1.26,0.72,90.59,0.52,150,200,REGULAR,0,0,0.06,3.35,36.87,47.37,5.72,1.83,1.1,0.85,2.85,93.31,6.69,0.21,0.23,2.63,15.05,28.95,48.82,4,0.1,0.01,0,0,96.82,3.18,REGULAR,1.50%,,0.018,160,8889,15,350,0.26%,78,99.74%,50,73.8,23.8,30,1.26,,0.3,0,25,222222,5,5,5,5,0.000%,,,,,,,0,0.00,,,,
4/15/2025,I,DAGUIRREG,7530831,A,PE250415A0,14:10:00,PT,2,HD14356,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.0-10,13.3,2.50,36.44,11.00,6.00,13.50,1.98,15.49,38.06,9.57,6.70,8.56,9.99,1.62,17.86,1.49,1.01,0.34,1.36,0.95,102.75,0.55,152,204,REGULAR,0.02,0.01,0.1,3.09,31.9,42.64,10.73,4.73,2.29,1.38,3.11,88.36,11.64,0.26,0.3,3.82,14.27,25.36,47.55,8.07,0.31,0.06,0,0,95.25,4.75,REGULAR,1.30%,0.10%,0.011,98,8909,15,500,0.37%,100,99.63%,50,73.3,23.3,30,1.29,210,0.3,700,25,222727,8,5,5,5,0.000%,Concesi�n,PIERO A.,330,,,,330,8.25,40000423384,Flotabilidad,Flotabilidad 0.37 / Densidad 1.29  / Conformidad (long 34.99 / calibre 39.63),Falla operativa
