Fecha,Turno,TAC,Codigo,Linea,Lote,Hora,Etapa,Ver,Agrupador,Categoria,Proteina (%),Humedad (%),Grasa (%),Ceniza (%),Fibra (%),Proteina F.(%),Humedad F.(%),Lipidos F. (%),Ceniza F.(%),Fibra F.(%),Almidon F. (%),VQ - Proteina R.(%),VQ - Humedad R.(%),VQ - Grasa E.E R.(%),VQ - Grasa H.A R.(%),VQ - % Ceniza,VQ - % Fibra,VQ - % Almidón,VQ - CALCIO,VQ - FOSFORO,VQ - MAGNESIO,VQ - POTASIO,VQ - SODIO,VQ - COLESTEROL mg/100g,VQ - Aw,AF - W2,AF - PM,AF - Hidroestabilidad,AF - <0.250,AF - 0.250 - 0.500,AF - 0.500 - 0.600,AF - 0.600 - 0.700,AF - 0.700 - 0.800,AF - 0.800 - 0.900,AF - 0.900 - 1.0,AF - 1 - 1.1,AF - >1.1,AF - Conforme Longitud,AF - Longitud <= 10.00 %,AF - <250,AF - 0.250 - 0.500,AF - 0.500 - 0.600,AF - 0.600 - 0.700,AF - 0.700 - 0.800,AF - 0.800 - 0.900,AF - 0.900 - 1.0,AF - 1 - 1.10,AF - >1.1,AF - Conforme Diametro,AF - Diametro <= 10.00 %,AF - Apariencia,AF - % Rebabas,AF - % de Finos <250 um,PPG - Peso,PPG - Particulas,PPG - Part./g,FH - PESO2,FH - Pellets que Flotan 140 PPT,FH - Flotabilidad % 140 (10s)ppt,FH - Tiempo de Hundimiento 140ppt(seg)2,FH - % Hundimiento 140,DE - VOL.1,DE - VOL.2,DE - DIF. VOLUMEN,DE - PESO,DE - DENSIDAD ESPECIFICA (kg/L),DA - PESO3,DA - VOLUMEN DEL VASO,DA - DENSIDAD APARENTE (g/L),R140 - Peso./g,R140 - Part.g /25 gr,"R140 - Minuto""5""","R140 - Minuto ""15""","R140 - Minuto ""30""","R140 - Minuto ""60""",R140 - % Reflote 140 PPT,D. Empleo,Autorizado por:,Cantidad de Bolsas,Cantidad de Bolsas 2,Cantidad de Bolsas 3,Cantidad de Bolsas 4,Total Bolsas,TN,Codigo QM,Motivo Pulmon,Observaciones,Causas Pulmon
1/2/2025,I,OVASQUEZC,7549088,A,PE250102A0,14:00:00,ARRANQUE,22,HD14318,Nicovita Katal Camar�n,35.5-37.5,5.5-11,6.5 - 8,12,3,38.17,11.00,6.64,12.00,2.04,14,40.25,9.99,5.17,6.94,10.1,1.82,14.77,1.48,1.09,0.51,1.44,0.74,94.1,0.58,130,160,BUENA,0.01,0,0.12,5.12,18.52,38.95,21.11,5.27,10.9,83.70,16.30,0.13,0.44,1.49,7.25,19,43.85,22.51,3.79,1.54,92.61,7.39,BUENA,1.50%,1.50%,,,2308,15,,0.46%,120,99.54%,50,,-50,30,1.28,,0.3,,25,57700,,5,,,0.000%,,,,,,,0,0.00,,,,
1/2/2025,II,OVASQUEZC,7549088,A,PE250102A0,15:30:00,ZARANDA,22,HD14318,Nicovita Katal Camar�n,35.5-37.5,5.5-11,6.5 - 8,12,3,38.17,11.00,6.64,12.00,2.04,14,40.78,9.65,5.57,7.5,9.26,1.88,14.44,1.35,1.04,0.43,1.42,0.63,90.17,0.57,130,160,BUENA,0.02,0,0.14,5.33,20.02,40.72,20.24,4.83,8.7,86.31,13.69,0.13,0.72,1.36,7.62,20.07,44.26,21.55,3.48,0.81,93.50,6.50,BUENA,1.34%,1.34%,,,2138,15,,0.09%,80,99.91%,50,,-50,30,1.28,,0.3,,25,53450,,3,,,0.000%,,,,,,,0,0.00,,,,
1/2/2025,II,EVillegasL,7549088,A,PE250102A0,20:40:00,ARRANQUE,22,HD14318,Nicovita Katal Camar�n,35.5-37.5,5.5-11,6.5 - 8,12,2.5,38.17,11,6.64,12,2.04,14,40.14,9.26,5.58,7.28,9.82,1.86,14.32,1.3,1.06,0.61,1.52,0.65,84.39,0.54,133,166,BUENA,0.03,0.01,0.03,3.61,18.35,41.94,29.08,3.18,3.77,92.98,7.02,0.1,0.38,0.74,6.48,17.1,42.88,29.22,2.67,0.43,95.68,4.32,BUENA,1.10%,1.10%,,,2182,15,,0.15%,61,99.85%,50,,-50,30,1.28,,0.3,,25,54550,,,,,0.000%,,,,,,,0,0.00,,,,
1/2/2025,II,EVillegasL,7549088,A,PE250102A0,21:00:00,PT,22,HD14318,Nicovita Katal Camar�n,35.5-37.5,5.5-11,6.5 - 8,12,2.5,38.17,11,6.64,12,2.04,14,39.75,9.31,5.78,7.42,10.04,1.79,14.87,1.37,1.12,0.52,1.48,0.65,95.84,0.53,131,162,BUENA,0.02,0.03,0.17,5,19.49,40.76,21.43,4.61,8.49,86.68,13.32,0.03,0.7,1.54,7.81,18.93,43.91,23.16,3.23,0.69,93.81,6.19,BUENA,1.27%,1.27%,,,2158,15,,0.05%,55,99.95%,50,,-50,30,1.28,,0.3,702,25,53950,,,,,0.000%,Concesi�n,PIERO A.,264,,,,264,6.60,40000399916,Flotabilidad,Flotabilidad 0.05 / Densidad 1.28 / Particulas por gramo 2158,
1/2/2025,III,EVillegasL,7549088,A,PE250102A0,23:00:00,ZARANDA,22,HD14318,Nicovita Katal Camar�n,35.5-37.5,5.5-11,6.5 - 8,12,2.5,38.17,11,6.64,12,2.04,14,39.66,8.62,6.9,8.51,9.61,1.82,14.47,1.26,1.02,0.53,1.52,0.69,86.19,0.5,128,156,BUENA,0.01,0,0.02,3.46,17.16,45.74,26.3,3.68,3.63,92.66,7.34,0.01,0.37,0.49,5.13,16.59,46.33,26.52,3.78,0.78,94.57,5.43,BUENA,0.77%,0.77%,,,2245,15,,0.00%,8,100.00%,50,,-50,30,1.28,,0.3,,25,56125,,5,,,0.000%,,,,,,,0,0.00,,,,
1/2/2025,III,EVillegasL,7549088,A,PE250102A0,01:15:00,ZARANDA,22,HD14318,Nicovita Katal Camar�n,35.5-37.5,5.5-11,6.5 - 8,12,2.5,38.17,11,6.64,12,2.04,14,38.92,8.94,7.54,9.03,9.82,1.79,14.64,1.3,1.04,0.49,1.52,0.74,85.35,0.53,130,160,BUENA,0.01,0,0.02,3.24,17.84,46.72,23.46,4.11,4.6,91.26,8.74,0.06,0.67,0.79,4.78,17.74,47.54,23.85,3.63,0.94,93.91,6.09,BUENA,0.57%,0.57%,,,2207,15,,0.05%,28,99.95%,50,,-50,30,1.26,,0.3,,25,55175,,3,,,0.000%,,,,,,,0,0.00,,,,
1/2/2025,III,EVillegasL,7549088,A,PE250102A0,03:30:00,ZARANDA,22,HD14318,Nicovita Katal Camar�n,35.5-37.5,5.5-11,6.5 - 8,12,2.5,38.17,11,6.64,12,2.04,14,39.13,8.82,7.78,9.33,9.78,1.76,14.42,1.26,1.06,0.47,1.53,0.72,85.81,0.51,124,148,BUENA,0.02,0.01,0.03,3.39,17.51,46.5,23.91,4.01,4.62,91.31,8.69,0.08,0.71,1.02,4.83,17.29,47.13,24.37,3.66,0.91,93.62,6.38,BUENA,0.74%,0.74%,,,2189,15,,0.02%,19,99.98%,50,,-50,30,1.26,,0.3,,25,54725,,,,,0.000%,,,,,,,0,0.00,,,,
1/2/2025,III,EVillegasL,7549088,A,PE250102A0,05:30:00,ZARANDA,22,HD14318,Nicovita Katal Camar�n,35.5-37.5,5.5-11,6.5 - 8,12,2.5,38.17,11,6.64,12,2.04,14,38.65,9.49,7.4,9,10.3,1.8,13.93,1.27,1.03,0.52,1.53,0.78,85.95,0.55,124,148,BUENA,0,0,0.06,3.33,15.48,43.94,26.54,4.64,6.01,89.29,10.71,0.02,0.63,1.23,4.73,14.91,44.44,27.58,4.88,1.58,91.66,8.34,BUENA,1.10%,1.10%,,,1769,15,,0.05%,34,99.95%,50,,-50,30,1.26,,0.3,,25,44225,,,,,0.000%,,,,,,,0,0.00,,,,
1/2/2025,III,EVillegasL,7530825,B,PE250102B0,03:30:00,ARRANQUE,5,HD14349,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.5 - 10,12,2.5,36.77,11,7.53,11.97,1.88,16,36.56,11.69,7.21,8.66,10.12,1.75,16.25,1.4,0.96,0.62,1.41,0.78,88.54,0.62,145,190,BUENA,0.02,0.03,0.24,1.87,12.42,58.17,21.96,2.28,3.01,94.42,5.58,0.04,1.31,1.5,3.13,14.23,58.22,20.06,1.41,0.1,95.64,4.36,BUENA,0.73%,0.73%,,,2207,15,,0.09%,120,99.91%,50,,-50,30,1.29,,0.3,,25,55175,,,,,0.043%,,,,,,,0,0.00,,,,
1/2/2025,III,EVillegasL,7530825,B,PE250102B0,05:30:00,ZARANDA,5,HD14349,Nicovita Katal Camar�n,35.5-37.5,5.5-11.5,6.5 - 10,12,2.5,36.77,11,7.53,11.97,1.88,16,38.25,7.44,7.59,9.12,10.55,1.83,16.22,1.31,1.07,0.69,1.52,0.83,83.67,0.48,132,164,BUENA,0,0.02,0.21,2.07,10.3,41.06,32.6,7.85,5.89,86.03,13.97,0.03,0.86,1.41,3.39,12.03,46.34,30.73,4.75,0.46,92.49,7.51,BUENA,1.07%,1.07%,,,1969,15,,0.15%,120,99.85%,50,,-50,30,1.25,,0.3,,25,49225,,,,,0.055%,,,,,,,0,0.00,,,,
