Fecha,Turno,TAC,Codigo,Linea,Lote,Hora,Etapa,Ver,Agrupador,Categoria,Proteina (%),Humedad (%),Grasa (%),Ceniza (%),Fibra (%),Proteina F.(%),Humedad F.(%),Lipidos F. (%),Ceniza F.(%),Fibra F.(%),Almidon F. (%),VQ - Proteina R.(%),"VQ - Humedad R.(%) ",VQ - Grasa E.E R.(%),VQ - Grasa H.A R.(%),VQ - % Ceniza,VQ - % Fibra,VQ - % Almidón,VQ - CALCIO,VQ - FOSFORO,VQ - MAGNESIO,VQ - POTASIO,VQ - SODIO,VQ - COLESTEROL mg/100g,VQ - Aw,AF - W2,AF - PM,AF - Hidroestabilidad,AF - <600,AF - 600-700,AF - 700-800,AF - 800-900,AF - 900-1,"AF - 1-1,1","AF - 1,1-1,2","AF - 1,2-1,3","AF - 1,3-1,4","AF - 1,4-1,5","AF - 1,5-1,6","AF - 1,6-1,7",AF - >1.7,AF - Conforme Longitud,AF - Longitud <=  10.00 %,"AF - <250 ","AF - 0.250 - 0.500 ","AF - 0.500 - 0.600 ","AF - 0.600 - 0.700 ","AF - 0.700 - 0.800 ","AF - 0.800 - 0.900 ","AF - 0.900 - 1.0 ",AF - 1 - 1.10,AF - >1.10,AF - Conforme Diametro,AF - Diametro <=  10.00 %,AF - Apariencia,AF - % Rebabas,AF - % de Finos <250 um,PPG - Peso,PPG - Particulas,PPG - Part./g,FH - PESO2,"FH - Pellets que Flotan 140 PPT ",FH - Flotabilidad % 140 (10s)ppt,FH - Tiempo de Hundimiento 140ppt(seg)2,FH - % Hundimiento 140,DE - VOL.1,DE - VOL.2,DE - DIF. VOLUMEN,DE - PESO,DE - DENSIDAD ESPECIFICA (kg/L),DA - PESO3,DA - VOLUMEN DEL VASO,DA - DENSIDAD APARENTE  (g/L),R140 - Peso./g,R140 - Part.g /25 gr,"R140 - Minuto""5"" ","R140 - Minuto  ""15"" ","R140 - Minuto  ""30"" ","R140 - Minuto  ""60"" ",R140 - % Reflote 140 PPT,D. Empleo,Autorizado por:,Cantidad de Bolsas,Cantidad de Bolsas 2,Cantidad de Bolsas 3,Cantidad de Bolsas 4,Total Bolsas,TN,Codigo QM,Motivo Pulmon,Observaciones,Causas Pulmon
1/1/2026,I,CSIVINCHAV,7530432,A,PE260101A0,10:00:00,PT,256,HD14257,Nicovita classic Camar�n,35.5-37.5,5.5-11.5,6.5-10,12,2.5,37.28,11.50,7.82,11.94,2.50,13.22,39.20,11.51,5.20,7.06,9.52,1.97,14.45,1.44,1.05,0.36,1.56,0.72,92.43,0.64,135,170,BUENA,0.04,0.23,5.63,35.38,23.73,12.43,7.71,4.51,2.9,1.8,1.27,4.37,0,27.55,72.45,0.03,0.19,0.27,0.48,12.78,76.03,9.04,0.39,0.79,97.85,2.15,BUENA,0.50%,0.06%,0.045,63,1400,15,2,0.01%,15,99.99%,50,74,24,30,1.25,217,0.3,723,25,35000,1,1,1,1,0.003%,Concesi�n,PIERO A.,226,,,,226,5.65,40000482596,Prote�na_baja,"Proteina alta 39.20 / Flotabilidad 0.01 / Densidad 1.25 /  Conformidad Long 27.55 ",Variabilidad de proceso
1/2/2026,I,CSIVINCHAV,7530432,A,PE260102A0,14:45:00,ARRANQUE,256,HD14257,Nicovita classic Camar�n,35.5-37.5,5.5-11.5,6.5-10,12,2.5,37.28,11.50,7.82,11.94,2.50,13.22,39.84,8.69,5.25,7.27,10.35,1.95,14.62,1.29,1.12,0.36,1.73,0.86,83.75,0.49,145,190,BUENA,0.03,0.41,9.67,50.9,20.74,5.99,3.18,1.97,1.37,1.14,0.97,3.63,0,12.51,87.49,0.13,0.28,0.47,0.76,13.64,71.24,12.78,0.36,0.34,97.66,2.34,BUENA,0.50%,,0.032,50,1563,15,5,0.02%,10,99.98%,50,73.8,23.8,30,1.26,,0.3,0,25,39063,0,0,0,0,0.000%,,,,,,,0,0,,,,
1/2/2026,I,CSIVINCHAV,7530498,B,PE260102B0,14:46:00,ARRANQUE,160,HD14387,Nicovita Katal Camar�n,42.5-44.5,5.5-11.5,6.0-10,13,2.6,42.50,11.50,6.00,10.72,2.00,14.00,42.38,10.12,7.57,9.22,9.72,1.34,14.55,1.60,1.25,0.27,1.61,0.67,166.24,0.58,130,160,BUENA,0.01,0.04,1.06,14.99,27.85,24.64,13.37,5.4,2.52,1.68,1.48,6.96,0,45.93,54.07,0.01,0.28,0.06,0.28,3.37,54.35,30.35,6.94,4.36,88.07,11.93,REGULAR,0.90%,,0.031,38,1226,15,15,0.08%,33,99.92%,50,74,24,30,1.25,,0.3,0,25,30645,20,20,30,30,0.098%,,,,,,,0,0,,,,
1/2/2026,I,CSIVINCHAV,7530432,A,PE260102A0,16:50:00,PT,256,HD14257,Nicovita classic Camar�n,35.5-37.5,5.5-11.5,6.5-10,12,2.5,37.28,11.50,7.82,11.94,2.50,13.22,39.84,8.77,4.91,6.94,10.65,1.89,14.39,1.32,1.15,0.37,1.69,0.95,89.25,0.49,140,180,BUENA,0.03,1.16,13.85,29.72,13.54,7.51,5.67,4.46,3.76,3.21,2.77,14.32,0,21.40,78.60,0.36,1.73,1.08,2.31,34.99,51.59,4.97,1.21,1.76,91.55,8.45,BUENA,0.55%,0.05%,0.034,54,1588,15,10,0.04%,25,99.96%,50,73.5,23.5,30,1.28,215,0.3,717,25,39706,10,10,15,15,0.038%,Concesi�n,PIERO A.,462,,,,462,11.55,40000482597,Longitud,Proteina alta 39.84 / Reflote 0.038 / Flotabilidad 0.04 / Densidad 1.28 /  Conformidad Long 21.40,Variabilidad de proceso
1/2/2026,I,CSIVINCHAV,7530498,B,PE260102B0,16:50:00,PT,160,HD14387,Nicovita Katal Camar�n,42.5-44.5,5.5-11.5,6.0-10,13,2.6,42.50,11.50,6.00,10.72,2.00,14.00,43.24,7.63,7.77,9.58,10.04,1.35,15.34,1.71,1.32,0.28,1.58,0.68,169.60,0.44,132,164,BUENA,0.03,0.03,1.3,12.18,26.07,19.6,8.71,4.29,2.95,2.86,3.21,18.77,0,35.55,64.45,0.19,0.67,0.62,0.78,5.87,34.19,32.15,13.39,12.14,72.21,27.79,BUENA,1.00%,0.06%,0.035,44,1257,15,25,0.13%,45,99.87%,50,74,24,30,1.25,220,0.3,733,25,31429,35,35,40,40,0.127%,Concesi�n,PIERO A.,170,,,,170,4.25,40000482598,Di�metro_y_longitud,Flotabilidad 0.13 / Reflote 0.127 / Densidad 1.25 /  Conformidad Long 35.55 / Conformidad diametro 72.21,Variabilidad de proceso
1/2/2026,I,CSIVINCHAV,7530904,B,PE260102B0,18:00:00,ARRANQUE,11,HD14399,Nicovita Katal Camar�n,42.5-44.5,5.5-11.5,6.0-10,13,2.6,42.50,11.50,7.08,10.76,2.13,12.00,43.56,6.97,8.26,9.78,9.91,1.68,13.88,1.85,1.31,0.30,1.43,0.57,123.90,0.41,134,168,BUENA,0.02,0.06,1.04,9.3,20.7,20.48,17.84,13.22,7.02,3.41,1.75,5.16,0,58.56,41.44,0.07,0.28,0.29,0.45,4.34,49.01,39.16,5.6,0.8,92.51,7.49,BUENA,0.56%,,0.039,50,1282,15,15,0.08%,35,99.92%,50,74.8,24.8,30,1.21,,0.3,0,25,32051,25,25,30,30,0.094%,,,,,,,0,0,,,,
1/2/2026,II,DAGUIRREG,7530432,A,PE260102A0,19:40:00,ARRANQUE,256,HD14257,Nicovita classic Camar�n,35.5-37.5,5.5-11.5,6.5-10,12,2.5,37.28,11.50,7.82,11.94,2.50,13.22,38.98,10.27,5.17,7.12,10.66,1.95,14.10,1.30,1.06,0.35,1.70,0.99,83.58,0.6,128,156,BUENA,0.03,0.26,4.32,25.88,32.33,13.18,6.2,4.31,3.58,3.09,2.41,4.41,0,27.27,72.73,0.01,0.19,0.3,0.6,9.68,52.82,31.34,4,1.06,93.84,6.16,BUENA,0.38%,,0.034,50,1471,15,36,0.16%,40,99.84%,50,74,24,30,1.25,,0.3,0,25,36765,2,2,2,2,0.005%,,,,,,,0,0,,,,
1/2/2026,II,DAGUIRREG,7530904,B,PE260102B0,19:40:00,ZARANDA,11,HD14399,Nicovita Katal Camar�n,42.5-44.5,5.5-11.5,6.0-10,13,2.6,42.50,11.50,7.08,10.76,2.13,12.00,43.27,8.14,8.19,9.60,9.77,1.56,13.67,1.89,1.25,0.23,1.35,0.52,134.38,0.36,130,160,BUENA,0.01,0.07,1.37,10.99,19.82,19.55,17.57,12.46,7.14,3.93,2.13,4.96,0,56.72,43.28,0.01,0.07,0.09,0.21,4.14,56.15,35.03,3.65,0.65,95.32,4.68,BUENA,0.40%,,0.036,48,1333,15,30,0.15%,55,99.85%,50,73.5,23.5,30,1.28,,0.3,0,25,33333,15,15,15,15,0.045%,,,,,,,0,0,,,,
1/2/2026,II,DAGUIRREG,7530432,A,PE260102A0,21:20:00,ZARANDA,256,HD14257,Nicovita classic Camar�n,35.5-37.5,5.5-11.5,6.5-10,12,2.5,37.28,11.50,7.82,11.94,2.50,13.22,38.61,10.54,5.25,7.23,10.97,1.94,13.78,1.29,1.05,0.36,1.69,1.09,80.88,0.58,128,156,BUENA,0.01,0.13,3.39,22.96,34.42,16.79,7.83,4.8,2.98,2.01,1.4,3.28,0,32.40,67.60,0.01,0,0,0.13,3.39,22.96,34.42,16.79,22.3,60.77,39.23,BUENA,0.18%,,0.034,40,1176,15,20,0.11%,35,99.89%,50,74,24,30,1.25,,0.3,0,25,29412,2,4,4,4,0.014%,,,,,,,0,0,,,,
1/2/2026,II,DAGUIRREG,7530904,B,PE260102B0,21:20:00,ZARANDA,11,HD14399,Nicovita Katal Camar�n,42.5-44.5,5.5-11.5,6.0-10,13,2.6,42.50,11.50,7.08,10.76,2.13,12.00,42.93,8.57,8.21,9.77,9.67,1.54,13.26,1.99,1.24,0.22,1.33,0.51,133.86,0.54,130,160,BUENA,0.04,0.1,1.74,13.99,24.41,22.54,17.32,10.27,4.56,1.91,0.94,2.18,0,54.69,45.31,0.01,0.3,0.07,0.32,3.81,56.91,35.32,3.04,0.22,96.04,3.96,BUENA,0.20%,,0.035,38,1086,15,15,0.09%,40,99.91%,50,74,24,30,1.25,,0.3,0,25,27143,10,10,10,10,0.037%,,,,,,,0,0,,,,
