IdRegistro,NroParticulas,Peso,TiempoHundimiento,PctFlotabilidad,PctHundimiento
REG-0012001,,15.0,15.0,0.01,99.99
REG-0012002,,15.0,10.0,0.02,99.98
REG-0012003,,15.0,33.0,0.08,99.92
REG-0012004,,15.0,25.0,0.04,99.96
REG-0012005,,15.0,45.0,0.13,99.87
REG-0012006,,15.0,35.0,0.08,99.92
REG-0012007,,15.0,40.0,0.16,99.84
REG-0012008,,15.0,55.0,0.15,99.85
REG-0012009,,15.0,35.0,0.11,99.89
REG-0012010,,15.0,40.0,0.09,99.91
REG-0012011,,15.0,18.0,0.03,99.97
REG-0012012,,15.0,20.0,0.02,99.98
REG-0012013,,15.0,120.0,0.02,99.98
REG-0012014,,15.0,12.0,0.05,99.95
REG-0012015,,15.0,20.0,0.03,99.97
REG-0012016,,15.0,16.0,0.02,99.98
REG-0012017,,15.0,23.0,0.05,99.95
REG-0012018,,15.0,20.0,0.03,99.97
REG-0012019,,15.0,55.0,0.21,99.79
REG-0012020,,15.0,16.0,0.01,99.99
REG-0012021,,15.0,45.0,0.16,99.84
REG-0012022,,15.0,25.0,0.04,99.96
REG-0012023,,15.0,46.0,0.09,99.91
REG-0012024,,15.0,20.0,0.02,99.98
REG-0012025,,15.0,50.0,0.29,99.71
REG-0012026,,15.0,30.0,0.24,99.76
REG-0012027,,15.0,120.0,0.54,99.46
REG-0012028,,15.0,22.0,0.07,99.93
REG-0012029,,15.0,120.0,0.35,99.65
REG-0012030,,15.0,42.0,0.09,99.91
REG-0012031,,15.0,120.0,0.53,99.47
REG-0012032,,15.0,30.0,0.44,99.56
REG-0012033,,15.0,120.0,0.56,99.44
REG-0012034,,15.0,30.0,0.07,99.93
REG-0012035,,15.0,120.0,0.44,99.56
REG-0012036,,15.0,30.0,0.06,99.94
REG-0012037,,15.0,120.0,0.6,99.4
REG-0012038,,15.0,40.0,0.17,99.84
REG-0012039,,15.0,120.0,0.58,99.42
REG-0012040,,15.0,24.0,0.04,99.96
REG-0012041,,15.0,120.0,0.63,99.37
REG-0012042,,15.0,15.0,0.03,99.97
REG-0012043,,15.0,120.0,0.3,99.7
REG-0012044,,15.0,12.0,0.02,99.98
REG-0012045,,15.0,25.0,0.03,99.97
REG-0012046,,15.0,120.0,0.32,99.68
REG-0012047,,15.0,15.0,0.01,99.99
REG-0012048,,15.0,120.0,0.41,99.59
REG-0012049,,15.0,30.0,0.03,99.97
REG-0012050,,15.0,120.0,0.24,99.76
REG-0012051,,15.0,15.0,0.02,99.98
REG-0012052,,15.0,120.0,0.41,99.59
REG-0012053,,15.0,18.0,0.04,99.96
REG-0012054,,15.0,120.0,0.18,99.82
REG-0012055,,15.0,30.0,0.09,99.91
REG-0012056,,15.0,120.0,0.51,99.49
REG-0012057,,15.0,28.0,0.19,99.81
REG-0012058,,15.0,120.0,0.43,99.57
REG-0012059,,15.0,30.0,0.06,99.94
REG-0012060,,15.0,120.0,0.41,99.59
REG-0012061,,15.0,25.0,0.14,99.86
REG-0012062,,15.0,120.0,0.35,99.65
REG-0012063,,15.0,32.0,0.12,99.88
