IdRegistro,IdVariable,Valor
REG-0012001,1,BUENA
REG-0012001,2,BUENA
REG-0012001,4,0.50
REG-0012002,1,BUENA
REG-0012002,2,BUENA
REG-0012002,4,0.50
REG-0012003,1,BUENA
REG-0012003,2,REGULAR
REG-0012003,4,0.90
REG-0012004,1,BUENA
REG-0012004,2,BUENA
REG-0012004,4,0.55
REG-0012005,1,BUENA
REG-0012005,2,BUENA
REG-0012005,4,1.00
REG-0012006,1,BUENA
REG-0012006,2,BUENA
REG-0012006,4,0.56
REG-0012007,1,BUENA
REG-0012007,2,BUENA
REG-0012007,4,0.38
REG-0012008,1,BUENA
REG-0012008,2,BUENA
REG-0012008,4,0.40
REG-0012009,1,BUENA
REG-0012009,2,BUENA
REG-0012009,4,0.18
REG-0012010,1,BUENA
REG-0012010,2,BUENA
REG-0012010,4,0.20
REG-0012011,1,BUENA
REG-0012011,2,BUENA
REG-0012011,4,0.18
REG-0012012,1,BUENA
REG-0012012,2,BUENA
REG-0012012,4,0.15
REG-0012013,1,BUENA
REG-0012013,2,BUENA
REG-0012013,4,0.15
REG-0012014,1,BUENA
REG-0012014,2,BUENA
REG-0012014,4,0.14
REG-0012015,1,BUENA
REG-0012015,2,BUENA
REG-0012015,4,0.55
REG-0012016,1,BUENA
REG-0012016,2,BUENA
REG-0012016,4,0.60
REG-0012017,1,BUENA
REG-0012017,2,BUENA
REG-0012017,4,0.42
REG-0012018,1,BUENA
REG-0012018,2,BUENA
REG-0012018,4,0.63
REG-0012019,1,BUENA
REG-0012019,2,BUENA
REG-0012019,4,0.57
REG-0012020,1,BUENA
REG-0012020,2,BUENA
REG-0012020,4,0.55
REG-0012021,1,BUENA
REG-0012021,2,BUENA
REG-0012021,4,0.61
REG-0012022,1,BUENA
REG-0012022,2,BUENA
REG-0012022,4,0.56
REG-0012023,1,BUENA
REG-0012023,2,BUENA
REG-0012023,4,0.48
REG-0012024,1,BUENA
REG-0012024,2,BUENA
REG-0012024,4,0.55
REG-0012025,1,BUENA
REG-0012025,2,BUENA
REG-0012025,4,0.41
REG-0012026,1,BUENA
REG-0012026,2,BUENA
REG-0012026,4,1.00
REG-0012027,1,BUENA
REG-0012027,2,BUENA
REG-0012027,4,1.00
REG-0012028,1,BUENA
REG-0012028,2,BUENA
REG-0012028,4,0.22
REG-0012029,1,BUENA
REG-0012029,2,BUENA
REG-0012029,4,1.00
REG-0012030,1,BUENA
REG-0012030,2,BUENA
REG-0012030,4,0.19
REG-0012031,1,BUENA
REG-0012031,2,BUENA
REG-0012031,4,1.20
REG-0012032,1,BUENA
REG-0012032,2,BUENA
REG-0012032,4,0.19
REG-0012033,1,BUENA
REG-0012033,2,BUENA
REG-0012033,4,1.00
REG-0012034,1,BUENA
REG-0012034,2,BUENA
REG-0012034,4,0.19
REG-0012035,1,BUENA
REG-0012035,2,BUENA
REG-0012035,4,1.20
REG-0012036,1,BUENA
REG-0012036,2,BUENA
REG-0012036,4,0.17
REG-0012037,1,BUENA
REG-0012037,2,BUENA
REG-0012037,4,1.30
REG-0012038,1,BUENA
REG-0012038,2,BUENA
REG-0012038,4,0.18
REG-0012039,1,BUENA
REG-0012039,2,BUENA
REG-0012039,4,1.00
REG-0012040,1,BUENA
REG-0012040,2,BUENA
REG-0012040,4,0.20
REG-0012041,1,BUENA
REG-0012041,2,BUENA
REG-0012041,4,0.88
REG-0012042,1,BUENA
REG-0012042,2,BUENA
REG-0012042,4,0.25
REG-0012043,1,BUENA
REG-0012043,2,BUENA
REG-0012043,4,1.00
REG-0012044,1,BUENA
REG-0012044,2,BUENA
REG-0012044,4,0.21
REG-0012045,1,BUENA
REG-0012045,2,BUENA
REG-0012045,4,0.15
REG-0012046,1,BUENA
REG-0012046,2,BUENA
REG-0012046,4,0.60
REG-0012047,1,BUENA
REG-0012047,2,BUENA
REG-0012047,4,0.21
REG-0012048,1,BUENA
REG-0012048,2,BUENA
REG-0012048,4,0.72
REG-0012049,1,BUENA
REG-0012049,2,BUENA
REG-0012049,4,0.13
REG-0012050,1,BUENA
REG-0012050,2,BUENA
REG-0012050,4,0.68
REG-0012051,1,BUENA
REG-0012051,2,BUENA
REG-0012051,4,0.18
REG-0012052,1,BUENA
REG-0012052,2,BUENA
REG-0012052,4,0.56
REG-0012053,1,BUENA
REG-0012053,2,BUENA
REG-0012053,4,0.24
REG-0012054,1,BUENA
REG-0012054,2,BUENA
REG-0012054,4,1.03
REG-0012055,1,BUENA
REG-0012055,2,BUENA
REG-0012055,4,0.10
REG-0012056,1,BUENA
REG-0012056,2,BUENA
REG-0012056,4,1.30
REG-0012057,1,BUENA
REG-0012057,2,BUENA
REG-0012057,4,0.19
REG-0012058,1,BUENA
REG-0012058,2,BUENA
REG-0012058,4,1.10
REG-0012059,1,BUENA
REG-0012059,2,BUENA
REG-0012059,4,1.00
REG-0012060,1,BUENA
REG-0012060,2,BUENA
REG-0012060,4,1.00
REG-0012061,1,BUENA
REG-0012061,2,BUENA
REG-0012061,4,1.00
REG-0012062,1,BUENA
REG-0012062,2,BUENA
REG-0012062,4,1.00
REG-0012063,1,BUENA
REG-0012063,2,BUENA
REG-0012063,4,1.30
REG-0012064,1,BUENA
REG-0012064,2,BUENA
REG-0012064,4,1.00
REG-0012065,1,BUENA
REG-0012065,2,BUENA
REG-0012065,4,0.15
REG-0012066,1,BUENA
REG-0012066,2,BUENA
REG-0012066,4,1.00
REG-0012067,1,BUENA
REG-0012067,2,BUENA
REG-0012067,4,0.30
REG-0012068,1,BUENA
REG-0012068,2,BUENA
REG-0012068,4,0.30
REG-0012069,1,BUENA
REG-0012069,2,BUENA
REG-0012069,4,0.18
REG-0012070,1,BUENA
REG-0012070,2,BUENA
REG-0012070,4,0.25
REG-0012071,1,BUENA
REG-0012071,2,BUENA
REG-0012071,4,0.30
REG-0012072,1,BUENA
REG-0012072,2,BUENA
REG-0012072,4,0.48
REG-0012073,1,BUENA
REG-0012073,2,BUENA
REG-0012073,4,0.48
REG-0012074,1,BUENA
REG-0012074,2,BUENA
REG-0012074,4,0.36
REG-0012075,1,BUENA
REG-0012075,2,BUENA
REG-0012075,4,1.00
REG-0012076,1,BUENA
REG-0012076,2,BUENA
REG-0012076,4,1.00
REG-0012077,1,BUENA
REG-0012077,2,BUENA
REG-0012077,4,0.69
REG-0012078,1,BUENA
REG-0012078,2,BUENA
REG-0012078,4,1.00
REG-0012079,1,BUENA
REG-0012079,2,BUENA
REG-0012079,4,0.61
REG-0012080,1,BUENA
REG-0012080,2,BUENA
REG-0012080,4,0.59
REG-0012081,1,BUENA
REG-0012081,2,BUENA
REG-0012081,4,0.71
REG-0012082,1,BUENA
REG-0012082,2,BUENA
REG-0012082,4,1.00
REG-0012083,1,BUENA
REG-0012083,2,BUENA
REG-0012083,4,1.50
REG-0012084,1,BUENA
REG-0012084,2,BUENA
REG-0012084,4,1.00
REG-0012085,1,BUENA
REG-0012085,2,BUENA
REG-0012085,4,0.68
REG-0012086,1,BUENA
REG-0012086,2,BUENA
REG-0012086,4,0.96
REG-0012087,1,BUENA
REG-0012087,2,BUENA
REG-0012087,4,1.10
REG-0012088,1,BUENA
REG-0012088,2,BUENA
REG-0012088,4,1.23
REG-0012089,1,BUENA
REG-0012089,2,BUENA
REG-0012089,4,0.65
REG-0012090,1,BUENA
REG-0012090,2,BUENA
REG-0012090,4,1.10
REG-0012091,1,BUENA
REG-0012091,2,BUENA
REG-0012091,4,1.00
REG-0012092,1,BUENA
REG-0012092,2,BUENA
REG-0012092,4,1.00
REG-0012093,1,BUENA
REG-0012093,2,BUENA
REG-0012093,4,1.00
REG-0012094,1,BUENA
REG-0012094,2,BUENA
REG-0012094,4,0.38
REG-0012095,1,BUENA
REG-0012095,2,BUENA
REG-0012095,4,0.50
REG-0012096,1,BUENA
REG-0012096,2,BUENA
REG-0012096,4,1.00
REG-0012097,1,BUENA
REG-0012097,2,BUENA
REG-0012097,4,1.00
REG-0012098,1,BUENA
REG-0012098,2,BUENA
REG-0012098,4,0.80
REG-0012099,1,BUENA
REG-0012099,2,BUENA
REG-0012099,4,0.65
REG-0012100,1,BUENA
REG-0012100,2,BUENA
REG-0012100,4,0.50
REG-0012101,1,BUENA
REG-0012101,2,BUENA
REG-0012101,4,0.38
REG-0012102,1,BUENA
REG-0012102,2,BUENA
REG-0012102,4,0.40
REG-0012103,1,BUENA
REG-0012103,2,BUENA
REG-0012103,4,0.59
REG-0012104,1,BUENA
REG-0012104,2,BUENA
REG-0012104,4,0.60
REG-0012105,1,BUENA
REG-0012105,2,BUENA
REG-0012105,4,0.59
REG-0012106,1,BUENA
REG-0012106,2,BUENA
REG-0012106,4,0.38
REG-0012107,1,BUENA
REG-0012107,2,BUENA
REG-0012107,4,0.60
REG-0012108,1,BUENA
REG-0012108,2,BUENA
REG-0012108,4,0.63
REG-0012109,1,BUENA
REG-0012109,2,BUENA
REG-0012109,4,0.49
REG-0012110,1,BUENA
REG-0012110,2,BUENA
REG-0012110,4,0.41
REG-0012111,1,BUENA
REG-0012111,2,BUENA
REG-0012111,4,0.39
REG-0012112,1,BUENA
REG-0012112,2,BUENA
REG-0012112,4,0.95
REG-0012113,1,BUENA
REG-0012113,2,BUENA
REG-0012113,4,0.56
REG-0012114,1,BUENA
REG-0012114,2,BUENA
REG-0012114,4,0.60
REG-0012115,1,BUENA
REG-0012115,2,BUENA
REG-0012115,4,0.48
REG-0012116,1,BUENA
REG-0012116,2,BUENA
REG-0012116,4,0.51
REG-0012117,1,BUENA
REG-0012117,2,BUENA
REG-0012117,4,0.39
REG-0012118,1,BUENA
REG-0012118,2,BUENA
REG-0012118,4,0.63
REG-0012119,1,BUENA
REG-0012119,2,BUENA
REG-0012119,4,0.28
REG-0012120,1,BUENA
REG-0012120,2,BUENA
REG-0012120,4,0.58
REG-0012121,1,BUENA
REG-0012121,2,BUENA
REG-0012121,4,0.73
REG-0012122,1,BUENA
REG-0012122,2,BUENA
REG-0012122,4,0.81
REG-0012123,1,BUENA
REG-0012123,2,BUENA
REG-0012123,4,0.53
REG-0012124,1,BUENA
REG-0012124,2,BUENA
REG-0012124,4,0.61
REG-0012125,1,BUENA
REG-0012125,2,BUENA
REG-0012125,4,0.58
REG-0012126,1,BUENA
REG-0012126,2,BUENA
REG-0012126,4,0.62
REG-0012127,1,BUENA
REG-0012127,2,BUENA
REG-0012127,4,0.81
REG-0012128,1,BUENA
REG-0012128,2,BUENA
REG-0012128,4,0.79
REG-0012129,1,BUENA
REG-0012129,2,BUENA
REG-0012129,4,0.38
REG-0012130,1,BUENA
REG-0012130,2,BUENA
REG-0012130,4,0.45
REG-0012131,1,BUENA
REG-0012131,2,BUENA
REG-0012131,4,0.55
REG-0012132,1,BUENA
REG-0012132,2,BUENA
REG-0012132,4,0.48
REG-0012133,1,BUENA
REG-0012133,2,BUENA
REG-0012133,4,0.50
REG-0012134,1,BUENA
REG-0012134,2,BUENA
REG-0012134,4,0.67
REG-0012135,1,BUENA
REG-0012135,2,BUENA
REG-0012135,4,0.41
REG-0012136,1,BUENA
REG-0012136,2,BUENA
REG-0012136,4,0.53
REG-0012137,1,BUENA
REG-0012137,2,BUENA
REG-0012137,4,0.48
REG-0012138,1,BUENA
REG-0012138,2,BUENA
REG-0012138,4,0.68
REG-0012139,1,BUENA
REG-0012139,2,BUENA
REG-0012139,4,0.18
REG-0012140,1,BUENA
REG-0012140,2,BUENA
REG-0012140,4,0.58
REG-0012141,1,BUENA
REG-0012141,2,BUENA
REG-0012141,4,0.41
REG-0012142,1,BUENA
REG-0012142,2,BUENA
REG-0012142,4,0.39
REG-0012143,1,BUENA
REG-0012143,2,BUENA
REG-0012143,4,0.45
REG-0012144,1,BUENA
REG-0012144,2,BUENA
REG-0012144,4,0.47
REG-0012145,1,
REG-0012145,2,BUENA
REG-0012145,4,0.53
